class,dataset size,test size,num correct,correct percentage,correct percentage,correct percentage,,Average percentage,,old percentage,,old dataset size,datasize increase percentage,,How many more images to get 90% test acc assuming linear returns
amberjack,323,37,21,56.7567567568,54.0540540541,51.3513513514,,54.0540540541,,21.6216216216,,323,,,
australian bass,378,40,32,80,50,77.5,,69.1666666667,,45,,378,,,
australian bonito,57,7,4,57.1428571429,57.1428571429,57.1428571429,,57.1428571429,,57.1428571429,,57,,,
barramundi,575,50,29,58,70,58,,62,,59.1836734694,2.8163265306,571,0.700525394,,N/A
barred cheek coral trout,155,14,13,92.8571428571,92.8571428571,92.8571428571,,92.8571428571,,58.8235294118,34.0336134454,157,-1.2738853503,,N/A
barred javelin,97,11,6,54.5454545455,54.5454545455,45.4545454545,,51.5151515152,,45.4545454545,,97,,,
barred queenfish,12,1,0,0,0,0,,0,,0,,12,,,
bartailed flathead,192,15,10,66.6666666667,66.6666666667,40,,57.7777777778,,61.5384615385,-3.7606837607,153,25.4901960784,,N/A
beach,17,2,1,50,50,50,,50,,50,,17,,,
bigeye trevally,60,4,0,0,0,0,,0,,0,,60,,,
black jewfish,138,13,8,61.5384615385,53.8461538462,53.8461538462,,56.4102564103,,53.8461538462,,138,,,
blackbanded amberjack,40,3,3,100,100,100,,100,,100,,40,,,
blackspotted rockcod,73,6,3,50,50,66.6666666667,,55.5555555556,,50,,73,,,
blue threadfin,80,8,6,75,87.5,75,,79.1666666667,,50,,80,,,
boat,62,6,2,33.3333333333,50,50,,44.4444444444,,16.6666666667,,62,,,
cobia,395,43,32,74.4186046512,72.0930232558,53.488372093,,66.6666666667,,60.4651162791,,395,,,
diamondscale mullet,72,7,5,71.4285714286,57.1428571429,57.1428571429,,61.9047619048,,57.1428571429,,72,,,
dusky flathead,507,45,30,66.6666666667,66.6666666667,77.7777777778,,70.3703703704,,60,10.3703703704,292,73.6301369863,,406.9642857143
frypan bream,16,3,1,33.3333333333,33.3333333333,33.3333333333,,33.3333333333,,33.3333333333,,16,,,
giant queenfish,192,26,22,84.6153846154,46.1538461538,61.5384615385,,64.1025641026,,65.3846153846,,192,,,
giant trevally,617,60,40,66.6666666667,70,80,,72.2222222222,,78.3333333333,,617,,,
golden snapper fingermark,516,48,40,83.3333333333,72.9166666667,64.5833333333,,73.6111111111,,81.25,,514,,,
golden trevally,585,58,43,74.1379310345,72.4137931034,77.5862068966,,74.7126436782,,79.3103448276,,585,,,
goldenline whiting,9,1,1,100,0,0,,33.3333333333,,0,,9,,,
goldspotted rockcod,53,8,6,75,75,50,,66.6666666667,,37.5,,53,,,
grass emperor sweetlip,82,11,2,18.1818181818,54.5454545455,54.5454545455,,42.4242424242,,22.2222222222,20.202020202,62,32.2580645161,,47.1
great barracuda,629,72,57,79.1666666667,79.1666666667,69.4444444444,,75.9259259259,,83.3333333333,,629,,,
grey mackerel,23,2,1,50,50,50,,50,,50,,21,,,
highfin amberjack,128,21,11,52.380952381,61.9047619048,57.1428571429,,57.1428571429,,61.9047619048,,128,,,
king threadfin,103,9,4,44.4444444444,22.2222222222,44.4444444444,,37.037037037,,44.4444444444,,101,,,
leaping bonito,54,5,2,40,60,60,,53.3333333333,,40,,54,,,
lesser queenfish,71,9,3,33.3333333333,33.3333333333,33.3333333333,,33.3333333333,,22.2222222222,,71,,,
longtail tuna,397,44,15,34.0909090909,22.7272727273,27.2727272727,,28.0303030303,,27.2727272727,,397,,,
luderick,231,26,21,80.7692307692,76.9230769231,65.3846153846,,74.358974359,,80.7692307692,,229,,,
mackerel tuna,188,20,7,35,65,45,,48.3333333333,,50,,188,,,
mahi mahi,535,59,43,72.8813559322,88.1355932203,83.0508474576,,81.3559322034,,75.6097560976,5.7461761058,365,46.5753424658,,255.7338129496
mangrove jack,809,103,73,70.8737864078,71.8446601942,58.2524271845,,66.9902912621,,53.8461538462,13.144137416,563,43.6944937833,,430.6397727273
mulloway,372,37,8,21.6216216216,32.4324324324,45.9459459459,,33.3333333333,,82.5136612022,,1805,,,
needleskin queenfish,72,12,7,58.3333333333,58.3333333333,66.6666666667,,61.1111111111,,40.5405405405,,369,,,
northern sand flathead,16,4,1,25,25,25,,25,,50,,72,,,
northern whiting,51,4,3,75,75,75,,75,,25,,16,,,
pearl perch,149,15,10,66.6666666667,73.3333333333,80,,73.3333333333,,75,,51,,,
people,48,2,0,0,0,0,,0,,73.3333333333,,149,,,
pikey bream,34,6,1,16.6666666667,33.3333333333,16.6666666667,,22.2222222222,,0,,48,,,
river,245,26,23,88.4615384615,92.3076923077,88.4615384615,,89.7435897436,,33.3333333333,,34,,,
river garfish,16,2,0,0,0,0,,0,,92.3076923077,,245,,,
river perch,2,0,0,0,0,0,,0,,0,,16,,,
samsonfish,259,20,12,60,40,40,,46.6666666667,,0,,2,,,
sand whiting,81,7,4,57.1428571429,57.1428571429,57.1428571429,,57.1428571429,,65,,259,,,
scaly jewfish,3,1,0,0,0,0,,0,,57.1428571429,,79,,,
school mackerel,57,6,1,16.6666666667,0,0,,5.5555555556,,0,,3,,,
scribbled rabbitfish,90,9,8,88.8888888889,77.7777777778,77.7777777778,,81.4814814815,,0,,57,,,
sea,91,4,4,100,100,100,,100,,88.8888888889,,90,,,
sea mullet,185,17,13,76.4705882353,64.7058823529,76.4705882353,,72.5490196078,,100,,91,,,
shark mackerel,70,5,3,60,60,60,,60,,62.5,,181,,,
silver javelin,24,4,1,25,25,25,,25,,80,,70,,,
silver jewfish,32,4,1,25,25,25,,25,,0,,24,,,
small spotted dart,84,8,6,75,75,75,,75,,25,,32,,,
snapper,448,46,25,54.347826087,80.4347826087,58.6956521739,,64.4927536232,,87.5,,84,,,
snub nosed dart,347,46,37,80.4347826087,69.5652173913,71.7391304348,,73.9130434783,,71.7391304348,,445,,,
snubnose garfish,10,1,0,0,0,0,,0,,67.3913043478,,347,,,
spanish mackerel,357,36,18,50,44.4444444444,11.1111111111,,35.1851851852,,0,,10,,,
spotted mackerel,122,13,2,15.3846153846,15.3846153846,30.7692307692,,20.5128205128,,2.7777777778,,354,,,
stout whiting,10,3,2,66.6666666667,66.6666666667,66.6666666667,,66.6666666667,,30.7692307692,,119,,,
striped barracuda,87,8,6,75,62.5,62.5,,66.6666666667,,50,,7,,,
swallow tailed dart,10,1,0,0,0,0,,0,,75,,87,,,
tailor,591,52,28,53.8461538462,59.6153846154,50,,54.4871794872,,0,,10,,,
tarwhine,77,4,2,50,50,50,,50,,34.6153846154,,589,,,
teraglin,66,6,2,33.3333333333,33.3333333333,33.3333333333,,33.3333333333,,50,,77,,,
three by two garfish,10,1,0,0,0,0,,0,,33.3333333333,,66,,,
trumpeter whiting,20,3,0,0,0,0,,0,,0,,10,,,
wahoo,181,19,9,47.3684210526,47.3684210526,78.9473684211,,57.8947368421,,0,,20,,,
wolf herring,103,12,3,25,25,25,,25,,73.6842105263,,181,,,
yellowfin bream,115,16,9,56.25,56.25,62.5,,58.3333333333,,33.3333333333,,103,,,
yellowfin tuna,475,46,29,63.0434782609,56.5217391304,65.2173913043,,61.5942028986,,57.1428571429,,112,,,
yellowtail kingfish,603,69,45,65.2173913043,53.6231884058,69.5652173913,,62.8019323671,,65.2173913043,,473,,,
yellowtailed flathead,5,1,0,0,0,0,,0,,66.6666666667,,600,,,
,,,,,,,,,,0,,5,,,
,,,,,,,Average class,48.7571536942,,,,,,,
